KernelNum: 0, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 1, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 2, AvgDistance: 45030.93872736436, RepTimes: 15.0
KernelNum: 3, AvgDistance: 45030.90678755049, RepTimes: 15.0
KernelNum: 4, AvgDistance: 45030.88325739904, RepTimes: 15.0
KernelNum: 5, AvgDistance: 43886.87446394455, RepTimes: 15.0
KernelNum: 6, AvgDistance: 44921.74455879892, RepTimes: 15.0
KernelNum: 7, AvgDistance: 39310.879765578735, RepTimes: 15.0
KernelNum: 8, AvgDistance: 39201.02519619049, RepTimes: 15.0
KernelNum: 9, AvgDistance: 39091.91999549224, RepTimes: 15.0
KernelNum: 10, AvgDistance: 36911.71374729029, RepTimes: 15.0
KernelNum: 11, AvgDistance: 39310.87097457222, RepTimes: 15.0
KernelNum: 12, AvgDistance: 37729.0316318209, RepTimes: 15.0
KernelNum: 13, AvgDistance: 34296.4037214701, RepTimes: 15.0
KernelNum: 14, AvgDistance: 29499.276956253925, RepTimes: 15.0
KernelNum: 15, AvgDistance: 28682.106361229326, RepTimes: 15.0
KernelNum: 16, AvgDistance: 35330.66394892931, RepTimes: 15.0
KernelNum: 17, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 18, AvgDistance: NaN, RepTimes: 0.0
KernelNum: 19, AvgDistance: NaN, RepTimes: 0.0
